day ,  fcst ,   obs 
327 ,  12.0 ,  12.3
328 ,   9.0 ,   7.4
329 ,   8.0 ,   8.0
330 ,  10.0 ,  10.1
331 ,   7.0 ,   7.8
332 ,   7.0 ,   7.3
333 ,   7.0 ,   6.3
334 ,   4.0 ,   4.7
335 ,   4.0 ,   4.0
336 ,   5.0 ,   5.0
337 ,   3.0 ,   4.0
338 ,   8.0 ,   7.5
339 ,   6.0 ,   6.7
340 ,   3.0 ,   3.4
341 ,   4.0 ,   2.5
342 ,   5.0 ,   5.9
343 ,   4.0 ,   6.0
344 ,   8.0 ,   8.0
345 ,   4.0 ,   4.6
346 ,   2.0 ,   1.1
347 ,   1.0 ,  -1.9
348 ,   1.0 ,   0.0
349 ,  10.0 ,   9.9
350 ,   9.0 ,   9.3
351 ,   7.0 ,   8.7
352 ,   7.0 ,   8.2
353 ,   6.0 ,   7.4
354 ,   6.0 ,   6.3
355 ,   8.0 ,   9.6
356 ,   8.0 ,   8.9
357 ,  12.0 ,  12.9
358 ,  10.0 ,  10.8
359 ,  10.0 ,   9.1
360 ,   8.0 ,   8.6
361 ,   9.0 ,   8.9
362 ,   7.0 ,   7.4
363 ,  11.0 ,  11.6
364 ,   9.0 ,   8.4
365 ,   7.0 ,   9.0
366 ,  10.0 ,  10.6
