day ,  fcst ,   obs 
  1 ,  10.0 ,  10.0
  2 ,   5.0 ,   6.9
  3 ,   8.0 ,   9.0
  4 ,   7.0 ,   7.3
  5 ,   8.0 ,   9.3
  6 ,   7.0 ,   8.3
  7 ,   8.0 ,   9.4
  8 ,   9.0 ,   9.6
  9 ,  10.0 ,  11.1
 10 ,  11.0 ,  10.5
 11 ,  10.0 ,  10.2
 12 ,  11.0 ,  10.4
 13 ,   6.0 ,   6.0
 14 ,   4.0 ,   5.0
 15 ,   5.0 ,   5.8
 16 ,   4.0 ,   6.4
 17 ,   5.0 ,   4.5
 18 ,  11.0 ,  12.0
 19 ,   9.0 ,   9.1
 20 ,   8.0 ,   9.4
 21 ,  10.0 ,  10.3
 22 ,   9.0 ,  10.9
 23 ,   7.0 ,   7.9
 24 ,   8.0 ,   9.7
 25 ,  10.0 ,   9.8
 26 ,   7.0 ,   6.6
 27 ,   6.0 ,   7.7
 28 ,   6.0 ,   6.1
 29 ,   5.0 ,   3.2
 30 ,   3.0 ,   3.3
 31 ,   3.0 ,   2.3
 32 ,   2.0 ,   3.1
 33 ,   1.0 ,   1.2
 34 ,   1.0 ,   0.4
 35 ,   2.0 ,   1.7
 36 ,   2.0 ,   2.0
 37 ,   2.0 ,   3.4
 38 ,   3.0 ,   3.1
 39 ,   1.0 ,  -0.1
 40 ,   0.0 ,  -0.1
 41 ,   2.0 ,   0.3
 42 ,   1.0 ,   0.7
 43 ,   3.0 ,   4.1
 44 ,   6.0 ,   6.3
 45 ,   7.0 ,   8.4
 46 ,   9.0 ,  10.4
 47 ,   9.0 ,  10.2
 48 ,  10.0 ,  12.0
 49 ,   8.0 ,   8.7
 50 ,   6.0 ,   6.1
 51 ,   8.0 ,   7.6
 52 ,   9.0 ,  10.9
 53 ,   8.0 ,   8.4
 54 ,  13.0 ,  15.6
 55 ,  12.0 ,  12.3
 56 ,  11.0 ,  10.4
 57 ,  10.0 ,  11.3
 58 ,  11.0 ,  10.7
 59 ,  12.0 ,  10.6
 60 ,  12.0 ,  12.2
 61 ,  10.0 ,  12.7
 62 ,  10.0 ,   9.8
 63 ,  11.0 ,  12.9
 64 ,   4.0 ,   2.9
 65 ,   9.0 ,   9.0
 66 ,   8.0 ,   9.9
 67 ,   9.0 ,  10.5
 68 ,  10.0 ,  11.7
 69 ,  11.0 ,  10.2
 70 ,  14.0 ,  14.5
 71 ,  14.0 ,  15.4
 72 ,  11.0 ,  13.1
 73 ,   nan ,   8.3
 74 ,  10.0 ,  10.2
 75 ,  15.0 ,  13.9
 76 ,   nan ,   8.7
 77 ,  10.0 ,  10.8
 78 ,   9.0 ,   7.7
 79 ,  12.0 ,  12.3
 80 ,  13.0 ,  13.4
 81 ,  14.0 ,  14.9
 82 ,  16.0 ,  17.6
 83 ,  17.0 ,  18.8
 84 ,  18.0 ,  19.5
 85 ,  16.0 ,  16.0
 86 ,  17.0 ,  18.4
 87 ,  18.0 ,  18.4
 88 ,  18.0 ,   nan
 89 ,  18.0 ,   nan
 90 ,  17.0 ,  13.7
 91 ,  11.0 ,  10.7
 92 ,  11.0 ,  12.0
 93 ,  12.0 ,  13.0
 94 ,  11.0 ,  11.9
 95 ,  10.0 ,   8.8
 96 ,   9.0 ,   8.5
 97 ,  10.0 ,  10.4
 98 ,   9.0 ,   9.6
 99 ,  14.0 ,  13.5
100 ,  11.0 ,  10.4
101 ,  11.0 ,  10.8
102 ,  10.0 ,  11.7
103 ,  11.0 ,  11.0
104 ,  11.0 ,  12.5
105 ,  11.0 ,  10.9
106 ,  10.0 ,   9.2
107 ,  10.0 ,   9.7
108 ,  10.0 ,  10.2
109 ,  10.0 ,  10.8
110 ,  11.0 ,   8.8
111 ,  11.0 ,   9.5
112 ,  11.0 ,  10.8
113 ,   nan ,   8.6
114 ,   nan ,   7.4
115 ,   nan ,  12.4
116 ,  11.0 ,  11.3
117 ,  12.0 ,  12.4
118 ,  13.0 ,  13.2
119 ,  10.0 ,   8.4
120 ,  13.0 ,  11.7
121 ,  16.0 ,  17.3
122 ,  14.0 ,  15.0
123 ,  16.0 ,  12.1
124 ,  10.0 ,   8.7
125 ,  10.0 ,   9.0
126 ,   9.0 ,   9.2
127 ,   8.0 ,   8.8
128 ,  14.0 ,  13.9
129 ,  16.0 ,  16.0
130 ,  14.0 ,  14.2
131 ,  16.0 ,  14.9
132 ,  14.0 ,   nan
133 ,  14.0 ,   nan
134 ,  16.0 ,   nan
135 ,  11.0 ,  11.3
136 ,  12.0 ,   7.3
137 ,  13.0 ,  12.8
138 ,  13.0 ,  13.5
139 ,  13.0 ,  14.4
140 ,  16.0 ,  15.1
141 ,  15.0 ,  11.0
142 ,  18.0 ,  15.6
143 ,  24.0 ,  23.8
144 ,  24.0 ,  25.2
145 ,  26.0 ,  25.4
146 ,  24.0 ,  25.0
147 ,  24.0 ,  24.6
148 ,  26.0 ,  26.1
149 ,  25.0 ,  24.5
150 ,  22.0 ,  20.9
151 ,  22.0 ,  22.2
152 ,  17.0 ,  17.3
153 ,  19.0 ,  20.4
154 ,  18.0 ,  17.4
155 ,  12.0 ,  12.4
156 ,  14.0 ,  13.3
157 ,  11.0 ,  11.2
158 ,  17.0 ,  16.8
159 ,  15.0 ,  14.4
160 ,  14.0 ,  14.3
161 ,  18.0 ,  16.9
162 ,  14.0 ,  15.7
163 ,  13.0 ,  11.5
164 ,  13.0 ,  12.0
165 ,  16.0 ,  16.0
166 ,  17.0 ,  16.9
167 ,  15.0 ,  17.0
168 ,  16.0 ,  15.1
169 ,  18.0 ,  16.7
170 ,  18.0 ,  17.7
171 ,  19.0 ,  18.9
172 ,  22.0 ,  20.8
173 ,  17.0 ,  15.3
174 ,  16.0 ,  16.5
175 ,  18.0 ,  15.9
176 ,  19.0 ,  17.6
177 ,  20.0 ,  20.2
178 ,  17.0 ,  18.7
179 ,  20.0 ,  19.5
180 ,  23.0 ,  25.9
181 ,  18.0 ,  18.6
182 ,  19.0 ,  18.5
183 ,  18.0 ,  16.4
184 ,  15.0 ,  15.3
185 ,  17.0 ,  16.7
186 ,  18.0 ,  20.4
187 ,  20.0 ,  22.1
188 ,  19.0 ,  14.5
189 ,  17.0 ,  16.9
190 ,  19.0 ,  18.8
191 ,  18.0 ,  16.0
192 ,  17.0 ,  16.8
193 ,  17.0 ,  14.7
194 ,  14.0 ,  13.0
195 ,  16.0 ,  15.6
196 ,  17.0 ,  15.1
197 ,  17.0 ,  16.8
198 ,  16.0 ,  15.8
199 ,  21.0 ,  21.8
200 ,  19.0 ,  16.8
201 ,  18.0 ,  17.2
202 ,  17.0 ,  17.0
203 ,  19.0 ,  19.0
204 ,  22.0 ,  21.6
205 ,  25.0 ,  25.5
206 ,  27.0 ,   nan
207 ,  28.0 ,  27.5
208 ,  28.0 ,  26.9
209 ,  23.0 ,  23.4
210 ,  20.0 ,  18.6
211 ,  17.0 ,  15.1
212 ,  19.0 ,  18.5
213 ,  18.0 ,  19.2
214 ,  20.0 ,  20.8
215 ,  19.0 ,  19.4
216 ,  20.0 ,  20.7
217 ,  19.0 ,  18.9
218 ,  19.0 ,  20.9
219 ,  18.0 ,  16.6
220 ,  15.0 ,  17.2
221 ,  20.0 ,  21.8
222 ,  23.0 ,  23.7
223 ,  24.0 ,  24.9
224 ,  24.0 ,  23.0
225 ,  23.0 ,  22.9
226 ,  18.0 ,  18.7
227 ,  21.0 ,  23.4
228 ,  20.0 ,  16.9
229 ,  21.0 ,  20.2
230 ,  25.0 ,  25.4
231 ,  24.0 ,  26.2
232 ,  29.0 ,  27.5
233 ,  24.0 ,  23.8
234 ,  20.0 ,  20.1
235 ,  20.0 ,  20.5
236 ,  20.0 ,  19.1
237 ,  18.0 ,  17.8
238 ,  18.0 ,  20.0
239 ,  20.0 ,  19.5
240 ,  18.0 ,  19.3
241 ,  20.0 ,  20.8
242 ,  17.0 ,  13.1
243 ,  17.0 ,  17.7
244 ,  17.0 ,  17.2
245 ,  22.0 ,  21.0
246 ,  18.0 ,  18.1
247 ,  23.0 ,  23.6
248 ,  20.0 ,  22.1
249 ,  20.0 ,  19.5
250 ,  20.0 ,  20.3
251 ,  23.0 ,  24.4
252 ,  24.0 ,  25.1
253 ,  23.0 ,  23.8
254 ,  20.0 ,  19.4
255 ,  16.0 ,  16.9
256 ,  14.0 ,  16.5
257 ,  18.0 ,  17.3
258 ,  18.0 ,  18.1
259 ,  19.0 ,  21.1
260 ,  19.0 ,  17.1
261 ,  17.0 ,  17.0
262 ,  15.0 ,  14.8
263 ,  15.0 ,  14.9
264 ,  16.0 ,  16.2
265 ,  15.0 ,  15.7
266 ,  15.0 ,  15.1
267 ,  10.0 ,  10.4
268 ,  14.0 ,  13.8
269 ,  14.0 ,  14.8
270 ,  14.0 ,  15.1
271 ,  15.0 ,  15.8
272 ,  15.0 ,  13.6
273 ,  14.0 ,  13.6
274 ,  16.0 ,  15.3
275 ,  15.0 ,  17.0
276 ,  15.0 ,  15.3
277 ,  13.0 ,  14.0
278 ,  15.0 ,  13.8
279 ,  12.0 ,  12.8
280 ,  14.0 ,  14.1
281 ,  14.0 ,  12.0
282 ,  12.0 ,  11.8
283 ,  13.0 ,  12.7
284 ,  14.0 ,  14.3
285 ,  15.0 ,  14.2
286 ,  12.0 ,  12.6
287 ,  11.0 ,  10.4
288 ,  11.0 ,  11.4
289 ,  13.0 ,  12.2
290 ,  13.0 ,  13.8
291 ,  15.0 ,  14.8
292 ,  14.0 ,  14.9
293 ,  13.0 ,  12.4
294 ,  13.0 ,  13.2
295 ,  12.0 ,  11.8
296 ,  15.0 ,  15.0
297 ,  15.0 ,  13.0
298 ,  16.0 ,  15.8
299 ,  12.0 ,  12.3
300 ,   8.0 ,   8.1
301 ,   8.0 ,   7.6
302 ,   9.0 ,   8.8
303 ,  11.0 ,  11.9
304 ,  10.0 ,   9.6
305 ,  11.0 ,  11.2
306 ,   8.0 ,   8.4
307 ,   8.0 ,   8.1
308 ,   8.0 ,   7.9
309 ,   7.0 ,   4.9
310 ,   8.0 ,   8.5
311 ,   8.0 ,   9.8
312 ,  10.0 ,   9.7
313 ,  11.0 ,  11.5
314 ,  10.0 ,  10.6
315 ,  10.0 ,   9.4
316 ,   9.0 ,  10.1
317 ,   9.0 ,  10.8
318 ,  12.0 ,   nan
319 ,  10.0 ,   nan
320 ,   9.0 ,   nan
321 ,  10.0 ,   nan
322 ,   9.0 ,   nan
323 ,   7.0 ,   nan
324 ,   9.0 ,   nan
325 ,  12.0 ,   nan
326 ,   9.0 ,   6.9
