date,nao,sst_index
19850322,-0.8000,1.3769
19850327,-1.0676,1.2411
19851003,1.1902,1.2809
19851008,0.7819,1.3033
19851013,0.0895,1.0268
19851018,0.7131,0.9725
19851023,0.2050,1.2876
19851028,-0.0744,1.0603
19851102,-0.7681,0.5881
19851107,0.5735,0.2961
19851112,0.8475,0.3284
19851117,-0.2574,0.6000
19851122,-2.3778,0.6484
19851127,-2.2170,0.5705
19851202,-1.3937,0.5383
19851207,-0.3693,0.6023
19851212,-0.2095,0.6274
19851217,-0.5515,0.6348
19851222,-0.1299,0.8700
19851227,-0.5894,1.0244
19860101,0.0957,1.1252
19860106,-0.5856,1.2863
19860111,0.6897,1.3585
19860116,0.5520,1.2843
19860121,1.1390,1.5917
19860126,0.1471,1.2849
19860131,-1.3825,1.0523
19860205,-2.4047,1.0506
19860210,-1.0930,0.9615
19860215,-1.3841,0.8247
19860220,-1.9943,0.9529
19860225,-2.1720,0.9087
19860302,0.7184,0.5469
19860307,1.4916,0.6655
19860312,0.7797,0.8898
19860317,0.8239,1.1469
19860322,2.5839,1.6832
19860327,2.0852,1.7286
19861003,0.5244,-0.1758
19861008,0.9572,0.4266
19861013,1.7389,0.7882
19861018,1.4390,1.0985
19861023,1.3843,1.3416
19861028,1.0224,1.4601
19861102,0.7032,1.3239
19861107,0.3568,1.3369
19861112,0.8772,1.8820
19861117,1.0593,2.2209
19861122,0.3077,2.3648
19861127,0.6210,2.4382
19861202,1.0332,2.3868
19861207,0.8418,2.4233
19861212,0.7770,2.4107
19861217,0.8146,2.4677
19861222,-0.6936,2.1280
19861227,0.0348,2.1735
19870101,-0.7569,2.0276
19870106,-1.3869,1.6017
19870111,-1.5547,1.3075
19870116,-0.5713,1.1266
19870121,-0.9519,0.9572
19870126,-0.6246,0.9122
19870131,0.3428,0.6109
19870205,0.4090,0.5310
19870210,-0.7781,0.6133
19870215,-1.6053,0.4433
19870220,-1.5481,0.3193
19870225,-1.6967,-0.1278
19870302,-0.8821,0.0142
19870307,-1.2117,-0.1265
19870312,-1.3138,-0.7870
19870317,-1.2894,-1.1286
19870322,-1.2955,-1.1023
19870327,-0.2610,-0.5044
19871003,0.0867,-0.5470
19871008,0.8128,-0.2526
19871013,0.1223,-0.1289
19871018,-0.8553,0.1874
19871023,-0.5435,-0.0748
19871028,-0.2123,0.1004
19871102,-0.1838,0.0586
19871107,0.1927,-0.1635
